,Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color,found_zipcode,found_lat,found_lon
125138,A832967,*Eros,2021-04-21 17:34:00,04/21/2021 05:34:00 PM,Killingsworth And Wells Branch in Travis (TX),Stray,Normal,Dog,Intact Male,4 months,Pit Bull,Brown,None,,
125139,A832954,*Astro,2021-04-21 15:27:00,04/21/2021 03:27:00 PM,Plains Valley in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,Black Mouth Cur/Labrador Retriever,Tan/White,78757,30.3561055,-97.7288444
125140,A832925,*Rosalia,2021-04-21 14:56:00,04/21/2021 02:56:00 PM,25500 Red Brangus Road in Travis (TX),Abandoned,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair,Blue,None,,
125141,A832928,*Benito,2021-04-21 14:56:00,04/21/2021 02:56:00 PM,25500 Red Brangus Road in Travis (TX),Abandoned,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue,None,,
125142,A830425,Zoey,2021-03-09 10:55:00,03/09/2021 10:55:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Pit Bull/Basset Hound,Blue/White,None,,
125143,A833173,,2021-04-25 23:38:00,04/25/2021 11:38:00 PM,13715 Lampting Drive in Pflugerville (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,None,,
125144,A833094,,2021-04-23 18:15:00,04/23/2021 06:15:00 PM,Turnstone Drive in Austin (TX),Abandoned,Normal,Dog,Intact Male,2 years,Yorkshire Terrier Mix,Tan,78744,30.187607,-97.7474778
125145,A833064,*Lion,2021-04-23 16:13:00,04/23/2021 04:13:00 PM,6920 Lee Manor Cove in Manor (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby/White,None,,
125146,A833066,,2021-04-23 15:48:00,04/23/2021 03:48:00 PM,4106 North Lamar Boulevard in Austin (TX),Stray,Injured,Dog,Intact Female,1 month,Labrador Retriever,Brown/White,78756,30.309476,-97.740685
125147,A833059,,2021-04-23 16:15:00,04/23/2021 04:15:00 PM,1716 Nightview Drive in Pflugerville (TX),Stray,Normal,Dog,Intact Female,10 years,Shih Tzu,White/Black,None,,
125148,A833122,,2021-04-24 12:40:00,04/24/2021 12:40:00 PM,900 West Riverside Drive in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Raccoon,Black/Gray,78704,30.263721,-97.754653
125149,A833060,,2021-04-23 16:13:00,04/23/2021 04:13:00 PM,1716 Nightview Drive in Pflugerville (TX),Stray,Normal,Dog,Intact Female,10 years,Shih Tzu,White/Brown,None,,
125150,A833063,*Tiger,2021-04-23 16:14:00,04/23/2021 04:14:00 PM,6920 Lee Manor Cove in Manor (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby/White,None,,
125151,A833098,,2021-04-23 21:00:00,04/23/2021 09:00:00 PM,1337 Westbank Drive in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Brown,78746,30.2763411,-97.816854
125152,A833088,Lucky,2021-04-23 18:09:00,04/23/2021 06:09:00 PM,10606 Topperwein Drive in Austin (TX),Stray,Injured,Dog,Neutered Male,2 years,Lhasa Apso,White/Brown,78758,30.383710999999998,-97.70754536134453
125153,A833062,*Bear,2021-04-23 16:14:00,04/23/2021 04:14:00 PM,6920 Lee Manor Cove in Manor (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby/White,None,,
125154,A833042,Eusebio Michi Navarro,2021-04-23 10:54:00,04/23/2021 10:54:00 AM,10921 Mickelson Drive in Austin (TX),Stray,Injured,Cat,Neutered Male,2 years,Siamese,Lynx Point/White,78747,30.1322883,-97.77533526151805
125155,A833043,,2021-04-23 10:54:00,04/23/2021 10:54:00 AM,130 Ralph Ablanedo Drive in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,78748,30.174478,-97.78739
125158,A830087,Cora,2021-03-02 12:31:00,03/02/2021 12:31:00 PM,Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,White/Black,None,,
125159,A833044,Bubba,2021-04-23 10:16:00,04/23/2021 10:16:00 AM,Austin (TX),Public Assist,Normal,Dog,Intact Male,1 year,Pit Bull,Brown/White,None,,
125160,A833185,Lucy,2021-04-26 09:36:00,04/26/2021 09:36:00 AM,8705 Milway Drive in Austin (TX),Public Assist,Normal,Dog,Intact Female,1 year,Pit Bull Mix,White/Gray,None,,
125161,A832788,*Bruno,2021-04-19 17:26:00,04/19/2021 05:26:00 PM,6111 South Congress Avenue in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Dutch Shepherd Mix,Brown Brindle/White,78745,30.199906,-97.77546778571428
125162,A833197,,2021-04-26 11:40:00,04/26/2021 11:40:00 AM,3909 South Lamar Boulevard in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Raccoon,Gray/Black,78704,30.2363812,-97.79019586840988
125163,A833196,Athena,2021-04-26 11:16:00,04/26/2021 11:16:00 AM,Manor (TX),Owner Surrender,Sick,Dog,Intact Female,2 months,Pit Bull/Labrador Retriever,Black,None,,
125164,A833184,241 G,2021-04-26 10:28:00,04/26/2021 10:28:00 AM,38Th 1/2 And I35 in Austin (TX),Stray,Nursing,Cat,Intact Male,1 weeks,Domestic Medium Hair,Orange Tabby/White,None,,
125165,A833199,195 G,2021-04-26 11:46:00,04/26/2021 11:46:00 AM,8735 North Lamar in Austin (TX),Stray,Injured,Cat,Intact Female,2 weeks,Domestic Medium Hair,Black Smoke/White,78753-4150,30.369852,-97.6872612
